,handcraft,shrinkage,hrp,equal,fw_handcraft,fw_shrinkage,fw_hrp,fw_equal
1973-08-08,4.18,4.18,4.18,4.18,6.65,6.65,6.65,6.65
1973-08-09,-1.1,-1.1,-1.1,-1.1,-1.7537281484267917,-1.7537281484267917,-1.7537281484267917,-1.7537281484267917
1973-08-10,4.18,4.18,4.18,4.18,6.84,6.84,6.84,6.84
1973-08-13,4.4,4.4,4.4,4.4,7.2,7.2,7.2,7.2
1973-08-14,4.4,4.4,4.4,4.4,7.196161556712967,7.196161556712967,7.196161556712967,7.196161556712967
1973-08-15,-4.4,-4.4,-4.4,-4.4,-7.4,-7.4,-7.4,-7.4
1973-08-16,-4.403951421293408,-4.403951421293408,-4.403951421293408,-4.403951421293408,-7.4,-7.4,-7.4,-7.4
1973-08-17,-0.6339528733246806,-0.6339528733246806,-0.6339528733246806,-0.6339528733246806,-1.1258114932987227,-1.1258114932987227,-1.1258114932987227,-1.1258114932987227
1973-08-20,-2.0,-2.0,-2.0,-2.0,-3.3039643164203594,-3.3039643164203594,-3.3039643164203594,-3.3039643164203594
1973-08-21,-3.8,-3.8,-3.8,-3.8,-6.088033609408877,-6.088033609408877,-6.088033609408877,-6.088033609408877
1973-08-22,-4.0,-4.0,-4.0,-4.0,-6.020340394351954,-6.020340394351954,-6.020340394351954,-6.020340394351954
1973-08-23,-4.004122609672854,-4.004122609672854,-4.004122609672854,-4.004122609672854,-5.0164904386914175,-5.0164904386914175,-5.0164904386914175,-5.0164904386914175
1973-08-24,3.8,3.8,3.8,3.8,4.183352899412284,4.183352899412284,4.183352899412284,4.183352899412284
1973-08-27,-3.895,-3.895,-3.895,-3.895,-3.485,-3.485,-3.485,-3.485
1973-08-28,-3.804250634953284,-3.804250634953284,-3.804250634953284,-3.804250634953284,-3.4085012699065675,-3.4085012699065675,-3.4085012699065675,-3.4085012699065675
1973-08-29,0.27,0.27,0.27,0.27,0.21226246944564786,0.21226246944564786,0.21226246944564786,0.21226246944564786
1973-08-30,-4.32,-4.32,-4.32,-4.32,-2.884318917383035,-2.884318917383035,-2.884318917383035,-2.884318917383035
1973-08-31,0.36,0.36,0.36,0.36,0.20705603423632946,0.20705603423632946,0.20705603423632946,0.20705603423632946
1973-09-03,0.0,0.0,0.0,0.0,-0.004314655254556847,-0.004314655254556847,-0.004314655254556847,-0.004314655254556847
1973-09-04,-3.06,-3.06,-3.06,-3.06,-1.19,-1.19,-1.19,-1.19
